text,label
Everyone is taking about spacing but we are missing two of the best defenders in the league teaming up under the best defensive coach in the league. The Giannis and Bam 1-5 switches are going to be something to watch.,analysis
"Just curious because while Wemby is way better than Chet and it would still be the case even if this happens, I feel like Chet having 2 rings and Wemby having none still, might change the dynamics of this rivalry a little bit, especially since up to this point in his career, Wemby has been 2nd place man.",analysis
"and even if SGA were to take the hardest road, it would STILL be better than KD because at least he already got us a ring and the 7 game series we lost wasn't blowing a 3-1 lead",analysis
"I know that looking at regular season matchups can be a fool's errand, but it's interesting to look back on this matchup in the regular season. In a narrow win and the Cup loss, Wemby only played 24 minutes. But then the Spurs also got blown out in March when he played 34 minutes: Spurs vs Knicks, March 1, 2026 | Basketball-Reference.com",analysis
"To be fair, if you look at every trade they made since the Gobert trade (outside of Ayo) they're all pretty awful for long term sustained success. All under the guise of ‘win now' when there's only been a couple dudes in the history of the league to win as a number 1 option before the age of 27.",analysis
On one hand the Knicks are one of the hottest teams in the playoffs ever. On the other hand the Knicks were a very mediocre/good team in a weak conference and were down 1-2 to the Hawks.,analysis
"The Knicks have had the spurs number for the past two seasons, dropping what, 1-2 games over the last two years?",analysis
"Spurs are not winning in 5, this is a toss up and it entirely depends on if Wemby is truly good enough to 1v5 the Knicks, because there isn't a single other player on the spurs who are better than the Knicks players",analysis
"This is why basketball needs a height class system, 6'2"" folks have body dysmorphia because they're not freaks of nature. Very sad.",analysis
"Imagine if SGA left the Thunder to join the Spurs next year Easy to forget exactly why the KD move is clowned on to the level it was until thinking about this 💀 obviously this is maybe even worse because SGA already won a chip with OKC and 2 MVPs, but still. Joining your rival after they boot you in the WCF is nasty work",analysis
"You are 100% correct. Does the media love it? Sure: because star movement is good for their business but people are acting as if player movement is some media driven bullshit when the evidence is literally right there in front of us every season that they're following the players' lead, not the other way around.",analysis
"Says the guy who's 98.9th percentile in height and 99.9th percentile in speed compared to the worlds population. 🤣🤣 Not taking away from the guy, he's small for the NBA, it's just funny to think about. NBA players are huge.",analysis
"Probably because they had to understand the game more to survive in the league, compared to superstars who rely more on their physical talents.",analysis
"I think if the Knicks just make their gameplan a boxing max/war of attrition and say ""we can 100% win in 7 games if we play every game physical and at a really high pace"" and come out game 1 and 2 sprinting like maniacs, the Spurs - and Wemby especially - will be unable to keep up by game 3",analysis
Knicks vs Spurs is genuinely the most interesting Finals matchup we could have gotten. Wemby averaging what he's averaging this postseason and still improving every round is scary. Brunson has to be the story if NY wins — he's playing like the system was literally built around him. Game 1 Wednesday is going to set the tone for everything.,analysis
It is hard because he got bullied so much all series and all I can find is Keldon Johnson just bodying him on that drive in one of the earlier games. I am trying to collect all the videos of Chet getting bullied from the series.,analysis
"im still not sure what happened in 2024 Come to think of it, theres parallels to the Spurs losing in 5 after a grueling series right before. Ant mentioned fatigue/conditioning being an issue after that series too i think",analysis
"Brunson is interesting to me because clearly he's a deep thinker but it's easy to overlook because he's not as much of a speaker, especially compared to someone like KAT. I'm glad he's getting the spotlight for it now.",analysis
That said im not sure how it'll go. I dont expect a sweep in either direction but I also dont think its going to go 4-3 either. All I care about is good games and a good series.,analysis
"They already started rumours about how the Lakers are on the clock to keep Luka, since he has a player option for 28-29.",analysis
this is always the question with the lakers and then they end up being contenders simply because a superstar wants to play for the lakers. been this way since Magic.,analysis
"😭 no genuine way thunder fans are pissed off that their ""3rd best player"" was out so it didn't count 🤣 we're talking abt the same guy right, ajay mitchell 😹 like the guy who had 6 turnovers in two games combined, shot 38% and 0% from the three and better yet averaged 5 ppg😭 bro had the easiest matchup against my lakers and everyone was so quick to call him great",analysis
I think the role players are just different for the series. They might matchup better. KAT can shoot and facilitate better than I-hart or J-Will. OG might get to the basket better than Chet. Mike Brown is better at drafting offensive plays. Idk man we'll see soon.,analysis
"MacMahon and Windhorst say Anthony Edwards has been ""frustrated"" ever since the KAT trade in 2024: ""The NBA vultures are swirling around Ant in anticipation of him potentially becoming the next superstar who's available in the trade market.",analysis
So happy that thunder lost. Cannot stand all the shenanigans that they do. SGA actually played an incredible game 7. But he is tainted himself with all the BS that he's done the whole series.,analysis
New York vs San Antonio David (Brunson) vs Goliath (Wemby) Knicks' Wings vs San Antonio's Wings 2025-26 NBA Cup winners vs the runner ups Street Meat vs Churros Basketball might be scripted ya'll,analysis
"Crying about a bum like ajay mitchell is nasty work. And JDub? Guy who has the record for worst +/- in a finals game in the history of the NBA? Dude had no business being all nba or all defense. But ""He DrOpPeD 40 iN a FiNaLs GaMe!",analysis
"I know it doesn't fit the Wembanyama narrative, but I think we should probably commend the Spurs coach more than we currently do, because I'm not convinced they would do that under current era Pop.",analysis
"Man, watching Knicks highlights from these playoffs, literally the Cavs played defense with 4 dudes. Harden literally didn't play.",analysis
The league manipulates games to get themselves a longer series. Then in game 7 they let them play,analysis
"Harden plays like me in the playoffs, just hiding waiting for passes and barely running back",analysis
Who cares about regular season games? Wemby played 25 minutes in half those games.,analysis
"Probably because there are more role players than superstars, so just more chances",analysis
He showed in these playoffs he's an egomaniac 8 more replies,analysis
"People like Brunson and Kyle Anderson's game makes me wonder if people can be trained to stop fastER. Neither of those guys is going to win a NBA foot race, but both can make defenders look stupid when Brunson or Slowmo comes to a dead stop from a pace the D was easily keeping but now they're out of position.",analysis
I'm really trying to see how absurdly stacked that team was For reference the lineups would be: StephKlayKDDraymondZaza IggyQuinn CookLivingstonLooneyMcGeeDavid WestNick YoungMcCaw Cavs would have George HillJordanBronJeff GreenKevin Love JR SmithRodney HoodKyle KorverTristan ThompsonCesi Osman,analysis
Brother u watch the series? Officiating was bad both ways 2 more replies,analysis
"SGA had a brilliant game. Too many people were questioning his MVP awared because of the flopping which everyone knows he was wrong, yet no one who follows the NBA will questions SGA's talent. Dude is the real deal and can make a shot from anywhere on the court. He just gassed out late in the 4th this game because he was being houneded and he had no help.",analysis
They have improved but it doesn't change the fact that the conference is weak. The teams they beat would be borderline playoff teams in the west. Up until they turned it around the against the hawks down 2-1 they were very mediocre/good for the season but not great by any means.,analysis
"And not just that, in moments when he had the ball and Wemby's in front of him, he was so scared. It was his Ben Simmons game. He was supposed to be their Wemby equalizer, but Jaylin Williams played better than him the whole series. Lol",analysis
"If you're ‘only' 6'2"" you can still make it to the NBA. All you need is elite genetics in every other facet, a former NBA father training you, and every financial advantage available to achieve it. A true underdog story 😂",analysis
"he's definitely not 6'2"" though lol, and adding an inch or two to your height is as relatable as it gets in the real world. like how every guy under 5'9"" is 5'9"" and every guy over 5'9"" is 6'",analysis
"He's 6'2"" which is perfectly fine as a guard in the NBA, this whole campaign to make it seem like he's overcome some disadvantage being ""short"" in the NBA is ridiculous. He ain't Muggsy Bogues.",analysis
If you're going to commit 25-35%% of the Cap to a 3rd player not named Harper/Wemby you might as well spend it on a top 10 guy in the league as opposed to Castle.,analysis
Next up: Einstein writes a book about how you don't have to be the best mathematician to be a great physicist (but still have to be better than 99.99% of the world),analysis
"If you're 6'2"" with a daddy who played in the NBA and whose connections let you train with active NBA players, you too can have a shot at getting into the NBA.",analysis
"Everyone loves the Spurs and Wemby now, but once that dominance continues to last 5-10+ years everyone is going to be real sick of the Spurs. People really forget the Duncan Years.",analysis
"Dude is 6'2'' pretending to be short, LOL. And dude is a nepo baby, his father played in the NBA, had all advantages in life and still pretending to be an underdog.",analysis
that and the kids of superstars just grew up stupid rich and spoiled because of it. hard to find that insatiable hunger to compete when raised in that sort of environment.,analysis
"AMA: Cameron Boozer, AJ Dybantsa, Darryn Peterson, and more prospects from the 2026 NBA Draft Media Circuit joining Monday, June 22nd at 5:00 PM ET 175 votes • 142 comments",analysis
The Thunder were 39-10 and 8-0 without Williams. He was barely a part of their season. The Spurs also didnt have Fox for games 1 or 2.,analysis
"The Knicks could win it in 5 if their shots fall throughout the first 3 games, but could definitely win it in 7 by attrition alone",analysis
"Spurs better build up a big lead early in game one while the Knicks are rusty and hold on, otherwise this will be a short series.",analysis
"Guess swaps are more valuable than FRPs with the new lottery system, would rather have swaps in 2 consecutive years then one FRP.",analysis
"Yeah, you just need to be an elite athlete with a 6'4"" wingspan, its not like you need to be *the best*",analysis
Releasing a kids books has to be some easy money shit agents convince famous people to do because it keeps randomly happening,analysis
Yuki Kawamura is currently below average height at 5'7 on the bulls. Though not as good as the other guys mentioned.,analysis
"Look at this closely. Spurs wins by round: 4,4,4,?Based on the pattern the Spurs will win 4 games in the finals.",analysis
"Spurs lossess by round: 1,2,3,?Based on the pattern it is clear the Knicks will win 4 games in the finals.",analysis
"Yea we have way to much evidence of this being the case, like in the NFL they will let you rot on a bad team no matter how bad you want out because player movement is nigh impossible. In the NBA they know they have freedom no matter how long of a contract they just signed",analysis
Crazy to think that during a 38 year span from 1980-2018 we had 11 teams who won championships. Only 3 individual champions during that stretch. So 8 teams won multiples. For 8 years straight 2019-2026 we will see a new champion each year. Will be interesting to see if anyone repeats during this decade.,analysis
"I.....gotta be honest After 2004, we didn't have a winning season for pushing 2 decades We literally had the worst record in North American sports, ever, even with the KG era I don't think I can live through another catastrophic collapse and Sisyphean attempt to claw back to relevancey",analysis
I was concerned going into the playoffs with the prospective match up against the Spurs and I was right to be concerned. The Thunder did better than I thought it could go but still a heartbreaker and the better team won. No sense in saying it any other way.,analysis
"And then for the Knicks, i think their best counter would be to just switch selectively. Basically keep Wemby from getting easy actions. They'd prob want OG or Hart to stay connected and then force Wemby into tougher catches while KAT or Robinson protects the rim behind the play.",analysis
"If the Spurs were as rested as the Knicks, I think the Spurs win it in 5 or 6. They have long players to even the playing field against NYK's long players, they all fight for every possession like the NYK do, etc. At this point though…",analysis
"because when he plays my team and I yell ""stop him"" at the tv it doesn't seem to work. Additionally, no matter how many times I say ""no fucking way"" when he launches some spinning jump shot it is in fact, fucking way",analysis
I think you should avoid bandwagoning on a team like the Spurs or Knicks because part of the joy of sports fandom you're missing out on is watching young guys and getting excited and having hope and having it actually pay off.,analysis
what's with athletes named Jalen who are horrendously overrated making crappy children's books after they get carried to their first and only ring?,hot_take
Nah. This shit is trained on data stolen from actual artists and writers. It's garbage. It's slop. Guarantee you can do better yourself.,hot_take
Meanwhile real writers cant get a fucking publisher or deal. Celebrity books are the worst. Yes im bitter.,hot_take
If ant gets traded I will never watch basketball again,hot_take
brunson grew up comfortably middle class but non-guaranteed journeymen like rick most definitely did not make anything close to the $2M/yr they make today. he made like $4M total career earnings over 9 years whereas shamet's made $35M already,hot_take
"Dude literally said ""run it back""... typical bullshit. Anytime the Wolves have a star they start this narrative. They did it with Garnett, they did it with KAT, they are doing it with ANT... and yet Garnett, KAT and ANT have all been nothing but loyal to Minnesota the entire time here.",hot_take
"Two things can be true. The teams may have been on the weaker side, but the Knicks still dominated them in a way that's essentially never been done before.",hot_take
This is the best thing that could've happened to the NBA Cup. The two teams in that championship making it to the Finals gives it more credibility imo.,hot_take
They moved quick as hell to try to get the next star to leave a small to mid market team. Buckle up t wolves fans. It gets bumpy.,hot_take
"•8h ago•Edited 8h ago As a star level player that is leaving Minnesota, the team acquiring him is guaranteed a chip. Garrett, Love, Wiggins, and KAT.",hot_take
"And so it begins e: this is obviously nothing but stirring the pot, but if there's even an ounce of truth to it...come to butthead.",hot_take
Chet is owned by Wemby and will be for many years to come. Dude must get traded for a formidable power forward.,hot_take
"I get this is annoying to Wolves fans but it's wild how much everyone is coping that this is some media fabrication. Giannis won a title, and stuck with the Bucks despite having arguably the worst draft and developing front office in the league. They burned up nearly every resource to be competitive and it's clearly time for him to move on.",hot_take
"i think the okc played better for like half the game but they just kept losing momentum cause of fouls on defense, like the players looked scared to touch anyone hell that one wemby foul while he was shooting the middy made me a certain i woulda preferred okc win if the spurs were gonna win like that.",hot_take
"knicks are mediocre/good team in a weak conference. This is just straight up bias and wrong. Im a GSW fan but I live in NY so I've always liked the knicks also, and these last three years the teams improved significantly. Theyre a great team and they got here based on their skill.",hot_take
I feel like the wolves are still one of the better teams in the league with all of their starters besides Rudy in their mid 20s…. Plus they just got a rebrand and are going to get a new arena and move east. Seems like a pretty nice position to be in.,hot_take
I think I've decided I can't support the Kings franchise anymore until the ownership changes after the many many years of just absolute garbage being put out.,hot_take
He's a one of a kind player that has never existed before or after. He's just built different.,hot_take
The KAT trade was the worst trade this decade. Before that the Wolves had the best roster,hot_take
San Antonio doing the lords work. Now please send these trash Knicks and their fans home,hot_take
"Signed, Someone who got smoked by his bs Cherry Hill squad in middle school.",hot_take
Now he just needs to make an animated movie about him as a goat,hot_take
"Tomorrow: ""Edwards has always admired Rob Pelinka and the Lakers' project",hot_take
"Is Sochan guaranteed a ring, irrespective which team wins the title?",hot_take
Especially those swaps that are best pick out of three teams.,hot_take
Have you seen a mashup of all the failed flop attempts? Just from WCF? It's a lot of footage of him laying on the ground. I never thought there'd be someone worse than Harden at flopping!,hot_take
"Haha jesus christ, the media has already moved on to trying to extract another star from the midwest to one of the coast markets. Amazing.",hot_take
"Yeah, I saw that after I posted. The NBA also had some weird finals schedules during lockout and COVID seasons.",hot_take
"Yea, totally. I'll say, in my mid thirties now, I relate to Harden very much in them highlights 😂",hot_take
Karl-Anthony Towns I watched Kevin Martin lead this team in scoring on inefficient middies and loved it…,hot_take
"Fox. Goat? Really? AND I watched him for years in Sacramento where he was much, MUCH better.",hot_take
Funny how our assets were trash but now suddenly we got fleeced?,hot_take
I have never seen a New Yorker be a Nets fan,hot_take
MacMahon and Windhorst don't know jack shit about what ant is feeling or the internal workings of the wolves FO. NBA media is the absolute worst. This narrative is going to continue no matter what does or doesn't happen because the NBA hates small market stars. Bunch of hacks,hot_take
"For the very first time, I got to see why some believe Shai is one of the greats. The guy was phenomenal tonight. I'd never paid attention o him because of the flopping. Tonight, despite the loss, Shai prove, his talent to me.",hot_take
"Crazy how every playoffs brings back that old feeling,the rivalries, the chaos, the storylines, the players turning into legends overnight.No matter the team, this time of year always reminds me why we fell in love with basketball in the first place.",hot_take
That podcast specifically always hates the wolves. They picked them to lose every playoff series they've been in the last three years and all though Denver would beat them in four or five just this April.,hot_take
Zydrunas Ilgauskas It would be so cool to have all of your side hustles guaranteed to be successful just because of who you are as a person,hot_take
"Legit my two favorite teams going head to head lmaooo. That's never happened to me in any sport ever, it's unreal",hot_take
Midwestern fans acting like this is just the media stirring shit up and not something that's to be expected lmao.,hot_take
"Fair. However, I think Jalen Williams injury turned the tide towards the Spurs favor. There is no way to deny Jalen was needed badly by OKC. He is such an instant upgade when he is on the floor. Even if he is not having a brilliant game, you can usually trust him to score when needed. I also consider him to be a very smart player.",hot_take
Finals records being such an important factor in goat debates Wemby has to win it now at 22 or will have the 0-1 stain and have to make it to two more finals and win before being above .500,hot_take
with the new anti tanking rules what is the percent chance that the worst team has for getting the #1 pick? What was the percentage before the new rules?,hot_take
you've gotta feel awful for Wolves fans man they now how a universally despised baseball roid monster fraud wrecking their franchise Wolves will be moved within 5 years,hot_take
"Brian Scalabrine he made like $4M total career earnings over 9 years If your parents have made $4 mil by the time they're 30, you're not middle class",hot_take
Underrated play game 7 is when at 9:18 in the first wembanyama had a sick give and go poster dunk on chef,hot_take
I'm 6'2 and I just had someone shove me into some trash cans and call me a pipsqueak. You wouldn't get it.,hot_take
"As someone that is 5'7"" I always root for the ""little guys"" like Brunson but this cracks me up a bit",hot_take
Never understood why they kept gobert who can't play in 4th quarters avgs below 10 points over Kat very strange,hot_take
Love those 180 opinion changes. Ahh Never change now excuse me while I am hyped still for Giannis.,hot_take
"Upper middle class, it's not like he is going to make another 4 million after 30.",hot_take
"Lol, no chance. Besides Foster's going to get 1 or 2 games (most likely game 1)",hot_take
•15 hr. ago Funny how our assets were trash but now suddenly we got fleeced?,hot_take
He always seemed small but his listed height was 6'1,hot_take
"Jaren Jackson Jr. Also clearly a deep thinker. I get shit on sometimes in the grizzlies sub when I mention player interviews like Ja morants first media day appearances and how you can see they're not smart people with deep thoughts but someone like Brunson is all the proof in the world that it's worth taking character, mentality, maturity and deep thought seriously.",hot_take
"could the nba use previous season stats to prevent tanking? if you have two teams with horrible records in a season but team one has several players performing worse statistically (and none of them have documented injuries or layoffs) while the team two was just as bad last year, you could say team one was tanking while team two is actually ass?",hot_take
"If a player plays part of the season then they're traded and the team gets a ring, it's up to the front office if he gets one or not. Being the Spurs and the fanbase's love for Sochan I definitely think they would. It's why I've been rooting for NY, no matter what happens, at least my man gets a ring.",hot_take
The secret for Minnesota winning a championship is going to have to be getting a rookie and having them win on their first contract and surrounding them with great players. It's just very hard to keep players in their prime in Minnesota for a variety of reasons unless they are from the state originally. This goes across all sports.,hot_take
"Windy: ""KAT is out of the door and is now a champion. NAW is out of the door and is now most improved....he's been frustrated ever since KAT got traded at how often he's double teamed...they have to do something this offseason to address this. Instead the offseason begins by trading Julius Randle in a salary dump",hot_take
"The original one was a song about The Alamo Siege as if played in the style of Iron Maiden. I won't link it here, but I was actually pretty proud of that one. I can see where it used the motifs from that one and tried to integrate it into the Spurs instead without being wholly original.",hot_take
"No they won't , if spurs keep winning ethical basketball, unlike the Oklahoma City floppers they will run the west. Now, if the spurs start flopping like the thunder do, then I see people hating spurs. But I like the spurs their fans are actually nice, and they keep it a hundred. Shoutout San Antonio",hot_take
My only thought is that the actual stars had basically spent most of their time training and doing everything else that came with being a superstar. While role players have much more down time (especially if they play for non playoff teams). No sponsors/ads/commercials and little obligations outside of showing up and playing,hot_take
"Imagine losing that connection, and then finding out you're still not getting more help to make it worth it. I don't think Ant even has one foot out the door yet, but a good GM is going to start cooking some good smelling shit right outside his window now if they are smart.",hot_take
"I'm a Lakers fan but I'm living in NYC and went to Rutgers, so I either get to see the team from my current city that I've latched on to win, or I get to see one of the very few NBA players from my alma mater win, and a rookie at that",hot_take
"It's not about height specifically. It could be anything that is perceived as lesser or inferior in any field. Not tall enough, not strong enough but also not smart enough or not pretty enough. It will sound cliché as fuck, but he really proved that you can accomplish anything with hard work.",hot_take
The Finals start on Wednesday this year. When was the last time the Finals didn't start on a Thursday? It seems like the NBA had the same schedule for at least the past decade. Game five is scheduled for a Saturday which the NBA has avoided scheduling finals games for years.,hot_take
"I've been to Minneapolis in winter. It sucks butt. Horrible. My current deal with my boss is that if they try to make me go to Minnesota between October and June, I will immediately find a new job: Take my talents to south beach...and have fun hanging out in Thanasis' bar.",hot_take
"Ah yes, just as we all predicted... The now Jaylen Brown for Ant Edwards trade!",reaction
Washington Bullets wtf Jaylen Brown isn't traded yet. Not thinking long term bullshit.,reaction
"Good game Spurs, it'll be exciting to see what Sam Presti does in the off-season! I'm salty still, so let's go Knicks!!",reaction
That only works in the NBA. No way am I taking less pay so my company can pay others more,reaction
Pain man. I think the FO have done a reasonable job but this how life is for small market teams,reaction
"Just a broken Rockets fan perspective:If we are going to lose, I'd like to watch MJs son hoop 🤷‍♂️",reaction
Can we shut down Tony Brothers for the Finals? Maybe just have Zarba and Davis's crews alternate games?,reaction
"thanks man, i do agree that your comparison paints the right picture for what we're talking about",reaction
"Bro Shai is defeated and ruined, we don't need to say anything nice about him",reaction
"I know he's like the exception, but LeBron understands the game like no other.",reaction
"Good lord and so the machine turns. I'm with LeBron on Windy, dudes weird.",reaction
"I'm not sure if it's new, but I'm praying it catches on lmao",reaction
Manu Ginobili Damn I want to see Ant and Wemby pair,reaction
Wow what a game. Sga was sweating so much. Because he actually had to play. And not sit on the free throw line all game. 🤣🤣,reaction
"Isn't he 6'2""? lmao I know thats short for NBA standards but its pretty funny",reaction
"Seeing KAT win a ring before him def didnt help lol. And yeah Edwards and KAT worked good together , was there really no way for Timbs to keep them? I know apron is a bitch but still they split superstar duo after going to WCF , which is weird",reaction
"Hey Tim, this is Brad. Have I got a deal for you. One lightly used Jaylen Brown for Anthony Edwards. JB just almost went for Giannis. And have you heard - he's a former Finals MVP?",reaction
"I mean, it's not wrong though. KAT is basically his brother. They bonded very strongly cause of them both losing their mothers, and both having an older sister that they treat like a 2nd mother.",reaction
There has been a lot of controversy with Tony Brothers and I found this video of Jeff Teague talking about him. Jeff Teague shares crazy NBA referee story.,reaction
Role players living the dream life. I couldn't imagine being LeBron who can't go out in public. But role players are living the dream. Generational wealth AND privacy?,reaction
damn i wanted okc. the spurs play good basketball and the whole world is gonna root for them. with okc everyone would root for us,reaction
Smush Parker We had sick assets one time and flipped em for AD and won a ring. Westbrook trade slammed our title window shut.,reaction
"Question: if Mitchell Robinson breaks the pinky on his shooting hand, how many many broken fingers does he have?",reaction
"AI was right when he was telling Lebron, ""They'll build you up just so they can tear you down.",reaction
"KD would be on Lebron's level of greatness if he had his mentality, that's the difference between them",reaction
"I was about to post this, don't know how it got in my feed, but it's absolute gold!",reaction
"Fuck this narrative bullshit, Giannis finally gets traded and we're immediately onto a new one? Wake up Sheeples!",reaction
Bud somehow hated on okc and managed to get downvoted in a sub that hates okc lmao.,reaction
Yall will hate the spurs when they're in the next five nba finals with Wemby lmao.,reaction
Damn the Knicks have two childrens book authors in their rotation now between Deuce and him,reaction
salty ass okc fans in the comments talking about flopping and ethical basketball. LMAO ironic,reaction
ant and gobert for brown and white. minnesota all in on different types of rice,reaction
OKC cheating & still choking like the curry warriors lmao Good > Evil🥹🔥💯,reaction
Is there a way this ends with Ant and Jaylen Brown in Atlanta?,reaction
God damn it's hard not to be a massive fan of this guy.,reaction
Ya? Wtf is he gonna do with y'all's assets? Emphasis on ass.,reaction
"Bro you're a spurs fan, your opinion on this doesn't mean shit",reaction
Knicks were pranking us. he didn't actually have any broken fingers,reaction
He and LeBron should co-write the follow up about receding hairlines,reaction
"Windhorst is so annoying, glad Bron called his ass out.",reaction
Wemby brought balance to the force. He defeat the evil,reaction
Brother you are a professional athlete taller than most humans in history lol,reaction
I'm done with basketball if we trade Ant. Gotta do whatever we can to put a 2nd option around him. I like Ayo but I'm not sure he's really a consistent number 2 guy,reaction
Get this man to the Lakers! Hopefully one day we can consolidate all stars onto the same 6 teams.,reaction
Prime Jordan is added to the 2018 Cavs. Can he and LeBron defeat the KD Warriors?,reaction
"First was against Mark Daigneault of the Thunder. Now, against 2-time COTY Mike Brown.",reaction
I believe this is why you have guys like Chet and Ayton when their mental goes revert to playing on the perimeter because that's comfortable and probably how they grew up playing. I think most bigs these days with a semblance of skill only stay in the paint because they get yelled at to.,reaction
•23 hr. ago Prime Jordan is added to the 2018 Cavs. Can he and LeBron defeat the KD Warriors?,reaction
"But again, I'll leave it up for shaming purposes as I'm not one to run from posting something and take my lashes for it. Thanks all for the feedback, and let's at least just have us a good finals!",reaction
Right? Those shots feel fucking terrible on the receiving end. Same with Curry. A falling away shot from the paint going in against my team does not make me appreciate what a cool guy he might be.,reaction
"it is interesting how the best NBA nepo babies had dads who were like role players/journeymen. not many examples of stars who had kids follow in their footsteps, (bronny, of course, is the exception /s)",reaction
And who is going to trade for Ant?! Could you imagine the package necessary? It doesn't exist. I doubt many teams would be able to trade for him without gutting their roster and pick assets.,reaction
No! We need fucking doctors and teachers! Fucking stop creating generations of athletes blowing their legs out for trillion dollar corporations and wasting their lives pursuing miracles.,reaction
"Thank F for that!... I can watch basketball now! Also... great story for whoever wins the finals, though Knicks would be so historic.",reaction
"Future hawk, smart of them not to blow their load on Jaylen brown and just buy time til ant man comes down",reaction
And time can do so much. Are you still mine!??? I need your love. God speed your love too … The Spurs..,reaction
Wiggins doesn't even count we wanted him gone lol. Plus we didn't have Andre Iguodala to yell in his ear,reaction
"Jalen is the man, on the court and off the court. I hope he wins an Olympic gold one day",reaction
"It's only a matter of time before we circle back around to Jokic is unhappy, followed by Wemby is unhappy.",reaction
I'm just really hoping that this turns the thunder away from how they been playing basketball the last couple years,reaction
"I think Minnesota have been pretty active in trying to make moves for Ant, don't think it's over at all",reaction
I know yall hate him but Butler also lead a Heat team to two finals appearances. Should count for something.,reaction
Do not underestimate ESPN! They will make a narattive for sure. Ant is just the easier target for them now.,reaction
You don't think we're well versed in this? lol It's just talking heads needing something to fill a show,reaction
PS. I dont follow the knicks and I'm not sold on how good of a playoff record they have.,reaction
In fact the ONLY person i remember really trying to force a trade out of Minnesota was Jimmy Butler.,reaction
I'm curious on what move is next for the Nets tbh. Couple of young guards for a seasoned one?,reaction
